CompanyKey,Company,Year,WomenPct,BvdID,NACE,IncorpYear,NumDirectors,TotalAssets_m,ShareFunds_m,NetIncome_m,Revenue_m,MarketCap_m,Employees,ROA,TotalDebt_m,TobinQ,GenderDiv,GenderDivSq,Blau,FCA_Post,CriticalMass,GenderDiv_x_Post,FirmSize,Leverage,FirmAge,Industry
ASSOCIATED BRITISH FOODS,Associated British Foods Plc,2025,60.0,GB00293262,1089,1933.0,11.0,19291.0,11186.0,1025.0,19459.0,14106.097444619,138155.0,0.05313358560986989,8105.0,1.1513709732320254,0.6,0.36,0.48,1,1,0.6,9.867393944887889,0.4201441086517029,92.0,10
AIRTEL AFRICA,Airtel Africa Plc,2025,33.3,GB11462215,6190,2017.0,25.0,10579.2346564241,2642.7250935764,514.452505314901,4880.85867339999,12558.410991554,4512.0,0.0486285182267421,7936.509562847699,1.9372781888297024,0.33299999999999996,0.11088899999999997,0.444222,1,1,0.33299999999999996,9.266648364083443,0.7501969490797106,8.0,61
HOWDEN JOINERY,Howden Joinery Group Plc,2025,55.6,GB02128710,3102,1986.0,19.0,2354.1,1190.9,267.7,2418.0,4487.487184587,11605.0,0.1137164946263965,1163.1999999999998,2.4003598762104414,0.556,0.3091360000000001,0.49372799999999994,1,1,0.556,7.7639137678015375,0.49411664755108103,39.0,31
FRESNILLO,Fresnillo Plc,2025,38.5,GB06344120,2441,2006.0,21.0,5409.88653948496,3771.46175870971,1028.56744002401,3402.56106414121,24568.032369701,18273.0,0.1901273589597192,1638.42478077525,4.8441787011990085,0.385,0.148225,0.47355,1,1,0.385,8.595983399251836,0.3028575125960467,19.0,24
SMITHS,Smiths Group Plc,2025,27.3,GB00137013,2651,1913.0,22.0,4011.0,2060.0,290.0,3336.0,7754.174957477,16103.0,0.07230117177761157,1951.0,2.4196397301114434,0.273,0.07452900000000001,0.39694200000000013,1,0,0.273,8.296795865770052,0.48641236599351784,112.0,26
SMITH NEPHEW,Smith & Nephew Plc,2025,30.8,GB00324357,3250,1936.0,29.0,7771.54839516752,3930.73725370957,464.494381465018,4581.0293877606,10524.29891092,17530.0,0.05976857607344355,3840.81114145795,1.848423161246788,0.308,0.094864,0.426272,1,1,0.308,8.958224702165678,0.49421440183609117,89.0,32
JD SPORTS FASHION,JD Sports Fashion Plc,2025,30.0,GB01888425,4764,1984.0,15.0,9791.0,3440.0,436.0,12694.0,4045.111961349,96084.0,0.04453069145133286,6351.0,1.0618028762484937,0.3,0.09,0.42000000000000004,1,1,0.3,9.189218875354072,0.6486569298335206,41.0,47
INTERTEK,Intertek Group Plc,2025,30.8,GB04267576,7120,2000.0,31.0,3761.5,1127.5,343.5,3431.6,7120.884532071,45425.0,0.09131995214674997,2634.0,2.593349603102751,0.308,0.094864,0.426272,1,1,0.308,8.232573093000276,0.7002525588196198,25.0,71
ANTOFAGASTA,Antofagasta Plc,2025,30.8,GB01627889,0729,1981.0,30.0,19633.9173876727,10724.543555668499,987.626533646181,6406.52946646864,32326.241931629,8457.0,0.050302062199073405,8909.373832004201,2.1002235544458023,0.308,0.094864,0.426272,1,1,0.308,9.885013828627882,0.4537746419162392,44.0,07
MARKS AND SPENCER,Marks & Spencer Group Plc,2024,60.0,GB04256886,4719,2000.0,21.0,8821.4,2831.9,295.7,13866.3,7303.305960389,63493.0,0.03352075634253066,5989.5,1.506881669620355,0.6,0.36,0.48,1,1,0.6,9.084935866563269,0.6789738590246447,24.0,47
