CompanyKey,Company,Year,WomenPct
SMITHS,Smiths Group Plc General Industrials,2020,23.7
EXPERIAN,Experian Plc Support Services,2020,23.7
INTERTEK,Intertek Group Plc Support Services,2020,23.3
INTERMEDIATE CAPITAL,Intermediate Capital Group Plc,2020,18.2
NATIONAL GRID,National Grid Plc,2020,34.2
SHELL,Royal Dutch Shell Plc Oil & Gas Industry,2020,28.4
BARRATT REDROW,Barratt Developments Plc,2020,33.3
DS SMITH,DS Smith Plc General Industrials,2020,30.2
BUNZL,Bunzl Plc General Industrials,2020,26.9
CRODA,Croda International Plc,2020,26.3
ASHTEAD,Ashtead Group Plc Support Services,2020,13.3
COMPASS,Compass Group Plc,2020,36.4
NATWEST,NatWest Group Plc,2020,34.2
LLOYDS BANKING,Lloyds Banking Group Plc,2020,33.6
SMITH NEPHEW,Smith & Nephew Plc,2020,31.7
SSE,SSE PLC,2020,23.2
FRESNILLO,Fresnillo Plc Mining,2020,11.5
ASTRAZENECA,AstraZeneca Plc,2020,42.9
STANDARD CHARTERED,Standard Chartered Plc,2020,31.5
HSBC,HSBC Holdings Plc,2020,28.3
BRITISH LAND,British Land Company Plc,2020,42.1
SAGE,Sage Group Plc,2020,38.7
J SAINSBURY,Sainsbury (J) Plc,2020,38.6
SEGRO,SEGRO Plc,2020,33.3
SMURFIT KAPPA,Smurfit Kappa Group Plc General Industrials,2020,31.7
BHP,BHP Group Plc Mining,2020,26.6
HARGREAVES LANSDOWN,Hargreaves Lansdown Plc,2020,23.8
POLYMETAL,Polymetal International Plc Mining,2020,23.1
BRITISH AMERICAN,British American Tobacco Plc Tobacco,2020,22.1
PERSIMMON,Persimmon Plc Goods & Home,2020,19.9
PHOENIX,Phoenix Group Holdings Life,2020,37.5
TESCO,Tesco Plc,2020,32.2
COCA COLA HBC,Coca-Cola HBC AG Beverages,2020,29.1
PRUDENTIAL,Prudential Plc Life,2020,28.4
ROLLS ROYCE,Rolls-Royce Holdings Plc,2020,26.4
WHITBREAD,Whitbread Plc,2020,41.4
LEGAL GENERAL,Legal & General Group Plc Life,2020,39.8
UNITED,United Utilities Group Plc,2020,33.8
INFORMA,Informa Plc,2020,30.1
ANGLO AMERICAN,Anglo American Plc Mining,2020,25.5
HIKMA,Hikma Pharmaceuticals Plc,2020,24.1
BERKELEY,Berkeley Group Holdings Plc,2020,20.4
BM EUROPEAN VALUE RETAIL,B&M European Value Retail SA General Retailers,2020,41.3
JOHNSON MATTHEY,Johnson Matthey Plc,2020,36.6
JD SPORTS FASHION,JD Sports Fashion Plc General Retailers,2020,32.4
AVAST,Avast Plc,2020,33.8
ENTAIN,Entain Plc,2020,33.3
MELROSE INDUSTRIES,Melrose Industries Plc General Industrials,2020,33.3
BAE SYSTEMS,BAE Systems Plc Aerospace & Defense,2020,25.6
DCC,DCC Plc Support Services,2020,21.0
JUST EAT,Just Eat Takeaway.com NV,2020,31.1
BARCLAYS,Barclays Plc,2020,28.6
MONDI,Mondi Plc General Industrials,2020,28.6
ASSOCIATED BRITISH FOODS,Associated British Foods Plc Food Producers,2020,23.2
GLENCORE,Glencore Plc Mining,2020,10.6
FLUTTER,Flutter Entertainment Plc,2020,31.1
AVEVA,Aveva Group Plc,2020,27.6
EVRAZ,Evraz Plc Mining,2020,21.3
IMPERIAL BRANDS,Imperial Brands Plc Tobacco,2020,16.3
ANTOFAGASTA,Antofagasta Plc Mining,2020,14.3
